cohort,outcome_id,coding_status,intervals,people,events,withdrawal_intervals,withdrawal_events,fried_intervals,fried_people,fried_events
charls,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,1537,1537,31,638,16,1156.0,1156.0,22.0
charls,incident_stroke,PASS_BASELINE_FREE_RISK_SET,1624,1624,8,667,3,1215.0,1215.0,6.0
charls,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,1407,1407,46,567,15,1057.0,1057.0,37.0
charls,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,1099,1099,80,440,37,811.0,811.0,59.0
charls,incident_cancer,PASS_BASELINE_FREE_RISK_SET,1657,1657,4,685,3,1240.0,1240.0,1.0
charls,incident_arthritis,PASS_BASELINE_FREE_RISK_SET,1016,1016,29,423,10,756.0,756.0,21.0
elsa,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,27503,8324,478,5611,120,12872.0,6743.0,267.0
elsa,incident_stroke,PASS_BASELINE_FREE_RISK_SET,29362,8803,324,6093,79,13666.0,7120.0,128.0
elsa,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,24929,7673,977,5134,231,11631.0,6190.0,428.0
elsa,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,16909,5397,892,3367,191,7989.0,4343.0,459.0
elsa,incident_cancer,PASS_BASELINE_FREE_RISK_SET,27272,8386,732,5729,161,12674.0,6711.0,365.0
elsa,incident_arthritis,PASS_BASELINE_FREE_RISK_SET,18407,5909,983,3616,226,8676.0,4730.0,451.0
hrs,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,48433,15060,1697,13313,543,12851.0,8037.0,399.0
hrs,incident_stroke,PASS_BASELINE_FREE_RISK_SET,58335,17698,1115,16637,388,15193.0,9443.0,294.0
hrs,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,47438,14978,2333,13353,732,11900.0,7621.0,606.0
hrs,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,23995,8193,2284,6139,645,6059.0,3992.0,600.0
hrs,incident_cancer,PASS_BASELINE_FREE_RISK_SET,53059,16585,1558,15445,497,13468.0,8522.0,415.0
hrs,incident_arthritis,PASS_BASELINE_FREE_RISK_SET,23456,8237,2170,6145,647,5679.0,3796.0,503.0
klosa,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,13243,4606,384,3934,137,,,
klosa,incident_stroke,PASS_BASELINE_FREE_RISK_SET,15611,5310,191,4694,62,,,
klosa,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,15004,5121,200,4525,67,,,
klosa,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,8949,3266,597,2544,157,,,
klosa,incident_cancer,PASS_BASELINE_FREE_RISK_SET,15525,5286,222,4688,55,,,
klosa,incident_arthritis,PASS_BASELINE_FREE_RISK_SET,12556,4300,220,3676,64,,,
mhas,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,0,,,
mhas,incident_stroke,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,0,,,
mhas,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,0,,,
mhas,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,0,,,
mhas,incident_cancer,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,0,,,
mhas,incident_arthritis,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,0,,,
share,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,51749,29779,1510,12667,473,49207.0,28652.0,1378.0
share,incident_stroke,PASS_BASELINE_FREE_RISK_SET,57656,33234,1233,14399,386,54816.0,31966.0,1127.0
share,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,49091,28581,2480,11954,691,46684.0,27488.0,2322.0
share,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,27732,16671,3252,6519,849,26514.0,16075.0,3048.0
share,incident_cancer,PASS_BASELINE_FREE_RISK_SET,55143,31967,1488,14030,394,52253.0,30669.0,1411.0
share,incident_arthritis,PASS_BASELINE_FREE_RISK_SET,35752,22149,4332,8539,1087,34112.0,21293.0,4116.0
